1,Destination,Route,Towards,Notes,Aeuja Post
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),Monday - Saturday only; no service public holidays,06:14
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:29
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,07:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,08:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,09:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,10:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:37
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,12:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,13:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,14:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,15:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,16:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,17:17
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:37
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,18:17
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,18:51
To,Klosters Platz - Station:Via Sportzentrum (for skilift Selfranga),232,Klosters Platz - Station:Sportzentrum (for skilift Selfranga),No,19:17
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,19:51
