1,Destination,Route,Towards,Notes,Brugga
From,Oberselfranga,234,Oberselfranga,No,06:39
To,Klosters Platz - Station,234,Klosters Platz - Station,No,06:44
From,Oberselfranga,234,Oberselfranga,No,07:43
To,Klosters Platz - Station,234,Klosters Platz - Station,No,07:49
From,Oberselfranga,234,Oberselfranga,No,08:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,08:41
From,Oberselfranga,234,Oberselfranga,No,09:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,09:41
From,Oberselfranga,234,Oberselfranga,No,10:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,10:41
From,Oberselfranga,234,Oberselfranga,No,11:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:41
From,Oberselfranga,234,Oberselfranga,No,11:47
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:53
From,Oberselfranga,234,Oberselfranga,No,12:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,12:41
From,Oberselfranga,234,Oberselfranga,No,13:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,13:41
From,Oberselfranga,234,Oberselfranga,No,14:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,14:41
From,Oberselfranga,234,Oberselfranga,No,15:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,15:41
From,Oberselfranga,234,Oberselfranga,No,16:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,16:41
From,Oberselfranga,234,Oberselfranga,No,17:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,17:41
From,Oberselfranga,234,Oberselfranga,No,18:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,16:41
From,Oberselfranga,234,Oberselfranga,No,19:35
To,Klosters Platz - Station,234,Klosters Platz - Station,No,19:41
