1,Destination,Route,Towards,Notes,Hofji
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:03
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,Monday - Saturday only; no service public holidays,06:41
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,07:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,08:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,09:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,10:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:19
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,12:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,13:39
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,14:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,15:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,16:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,17:49
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,18:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,18:55
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,19:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,19:55
