1,Destination,Route,Towards,Notes,Taschi
From,Monobiel Parkplatz,232,Monobiel Parkplatz,Monday - Saturday only; no service public holidays,06:03
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,Monday - Saturday only; no service public holidays,06:40
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,07:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,07:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,08:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,08:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,09:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,09:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,10:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,10:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,11:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:18
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,11:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,12:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,12:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,13:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,13:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,14:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,14:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,15:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,15:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,16:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,16:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,17:07
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,17:48
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,18:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,18:54
From,Monobiel Parkplatz,232,Monobiel Parkplatz,No,19:06
To,Klosters Platz - Station:Via Nutlihuschi,232,Klosters Platz - Station:Nutlihuschi,No,19:54
